
2023/04/11 (00:36:08) | INFO: Logger set to DEBUG
2023/04/11 (00:36:08) | DEBUG: Using locale en_US.UTF-8
2023/04/11 (00:36:08) | INFO: Running on /dev/pts/0
2023/04/11 (00:36:08) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/11 (00:37:10) | ===> btop++ v.1.2.13
2023/04/11 (00:37:10) | INFO: Logger set to DEBUG
2023/04/11 (00:37:10) | DEBUG: Using locale en_US.UTF-8
2023/04/11 (00:37:10) | INFO: Running on /dev/pts/0
2023/04/11 (00:37:10) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/12 (12:25:59) | ===> btop++ v.1.2.13
2023/04/12 (12:25:59) | INFO: Logger set to DEBUG
2023/04/12 (12:25:59) | DEBUG: Using locale en_US.UTF-8
2023/04/12 (12:25:59) | INFO: Running on /dev/pts/0
2023/04/12 (12:25:59) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/12 (21:51:23) | ===> btop++ v.1.2.13
2023/04/12 (21:51:23) | INFO: Logger set to DEBUG
2023/04/12 (21:51:23) | DEBUG: Using locale en_US.UTF-8
2023/04/12 (21:51:23) | INFO: Running on /dev/pts/0
2023/04/12 (21:51:23) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/12 (21:52:14) | ===> btop++ v.1.2.13
2023/04/12 (21:52:14) | INFO: Logger set to DEBUG
2023/04/12 (21:52:14) | DEBUG: Using locale en_US.UTF-8
2023/04/12 (21:52:14) | INFO: Running on /dev/pts/1
2023/04/12 (21:52:14) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/12 (21:52:48) | ===> btop++ v.1.2.13
2023/04/12 (21:52:48) | INFO: Logger set to DEBUG
2023/04/12 (21:52:48) | DEBUG: Using locale en_US.UTF-8
2023/04/12 (21:52:48) | INFO: Running on /dev/pts/0
2023/04/12 (21:52:48) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/13 (01:40:02) | ===> btop++ v.1.2.13
2023/04/13 (01:40:02) | INFO: Logger set to DEBUG
2023/04/13 (01:40:02) | DEBUG: Using locale en_US.UTF-8
2023/04/13 (01:40:02) | INFO: Running on /dev/pts/0
2023/04/13 (01:40:02) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/13 (01:40:59) | ===> btop++ v.1.2.13
2023/04/13 (01:40:59) | INFO: Logger set to DEBUG
2023/04/13 (01:40:59) | DEBUG: Using locale en_US.UTF-8
2023/04/13 (01:40:59) | INFO: Running on /dev/pts/0
2023/04/13 (01:40:59) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/13 (01:42:32) | ===> btop++ v.1.2.13
2023/04/13 (01:42:32) | INFO: Logger set to DEBUG
2023/04/13 (01:42:32) | DEBUG: Using locale en_US.UTF-8
2023/04/13 (01:42:32) | INFO: Running on /dev/pts/0
2023/04/13 (01:42:32) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/13 (13:48:35) | ===> btop++ v.1.2.13
2023/04/13 (13:48:35) | INFO: Logger set to DEBUG
2023/04/13 (13:48:35) | DEBUG: Using locale en_US.UTF-8
2023/04/13 (13:48:35) | INFO: Running on /dev/pts/0
2023/04/13 (13:48:35) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/14 (16:11:58) | ===> btop++ v.1.2.13
2023/04/14 (16:11:58) | INFO: Logger set to DEBUG
2023/04/14 (16:11:58) | DEBUG: Using locale en_US.UTF-8
2023/04/14 (16:11:58) | INFO: Running on /dev/pts/0
2023/04/14 (16:11:58) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/14 (21:27:27) | ===> btop++ v.1.2.13
2023/04/14 (21:27:27) | INFO: Logger set to DEBUG
2023/04/14 (21:27:27) | DEBUG: Using locale en_US.UTF-8
2023/04/14 (21:27:27) | INFO: Running on /dev/pts/0
2023/04/14 (21:27:27) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/14 (21:31:14) | ===> btop++ v.1.2.13
2023/04/14 (21:31:14) | INFO: Logger set to DEBUG
2023/04/14 (21:31:14) | DEBUG: Using locale en_US.UTF-8
2023/04/14 (21:31:14) | INFO: Running on /dev/pts/0
2023/04/14 (21:31:14) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/14 (21:32:15) | ===> btop++ v.1.2.13
2023/04/14 (21:32:15) | INFO: Logger set to DEBUG
2023/04/14 (21:32:15) | DEBUG: Using locale en_US.UTF-8
2023/04/14 (21:32:15) | INFO: Running on /dev/pts/1
2023/04/14 (21:32:15) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/14 (21:33:27) | ===> btop++ v.1.2.13
2023/04/14 (21:33:27) | INFO: Logger set to DEBUG
2023/04/14 (21:33:27) | DEBUG: Using locale en_US.UTF-8
2023/04/14 (21:33:27) | INFO: Running on /dev/pts/0
2023/04/14 (21:33:27) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/14 (22:23:40) | ===> btop++ v.1.2.13
2023/04/14 (22:23:40) | INFO: Logger set to DEBUG
2023/04/14 (22:23:40) | DEBUG: Using locale en_US.UTF-8
2023/04/14 (22:23:40) | INFO: Running on /dev/pts/1
2023/04/14 (22:23:40) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/14 (22:27:46) | ===> btop++ v.1.2.13
2023/04/14 (22:27:46) | INFO: Logger set to DEBUG
2023/04/14 (22:27:46) | DEBUG: Using locale en_US.UTF-8
2023/04/14 (22:27:46) | INFO: Running on /dev/pts/0
2023/04/14 (22:27:46) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/15 (09:05:45) | ===> btop++ v.1.2.13
2023/04/15 (09:05:45) | INFO: Logger set to DEBUG
2023/04/15 (09:05:45) | DEBUG: Using locale en_US.UTF-8
2023/04/15 (09:05:45) | INFO: Running on /dev/pts/1
2023/04/15 (09:05:45) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/15 (16:16:03) | ===> btop++ v.1.2.13
2023/04/15 (16:16:03) | INFO: Logger set to DEBUG
2023/04/15 (16:16:03) | DEBUG: Using locale en_US.UTF-8
2023/04/15 (16:16:03) | INFO: Running on /dev/pts/0
2023/04/15 (16:16:04) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/18 (14:32:27) | ===> btop++ v.1.2.13
2023/04/18 (14:32:27) | INFO: Logger set to DEBUG
2023/04/18 (14:32:27) | DEBUG: Using locale en_US.UTF-8
2023/04/18 (14:32:27) | INFO: Running on /dev/pts/0
2023/04/18 (14:32:27) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2023/04/18 (14:32:33) | DEBUG: Writing new config file
2023/04/18 (14:32:33) | INFO: Quitting! Runtime: 00:00:06

2023/04/22 (00:31:05) | ===> btop++ v.1.2.13
2023/04/22 (00:31:05) | INFO: Logger set to DEBUG
2023/04/22 (00:31:05) | DEBUG: Using locale en_US.UTF-8
2023/04/22 (00:31:05) | INFO: Running on /dev/pts/0
2023/04/22 (00:31:05) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/22 (11:45:33) | ===> btop++ v.1.2.13
2023/04/22 (11:45:33) | INFO: Logger set to DEBUG
2023/04/22 (11:45:33) | DEBUG: Using locale en_US.UTF-8
2023/04/22 (11:45:33) | INFO: Running on /dev/pts/0
2023/04/22 (11:45:34) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

